,open_usdt,high_usdt,low_usdt,close_usdt,volume_usdt,open_usd,high_usd,low_usd,close_usd,volume_usd
2023-03-01 01:10:00+00:00,23115.04,23145.0,23114.33,23144.07,183.84768,23118.18,23149.02,23117.7,23149.02,11.30077653
2023-03-01 01:11:00+00:00,23144.07,23149.32,23135.69,23145.79,148.36759,23148.72,23151.01,23140.62,23149.57,11.76408704
2023-03-01 01:12:00+00:00,23145.79,23153.0,23137.22,23147.44,200.95318,23149.57,23155.11,23141.4,23153.31,11.98069192
2023-03-01 01:13:00+00:00,23148.24,23162.42,23144.68,23155.76,171.30975,23153.08,23164.0,23150.2,23160.46,13.900654
2023-03-01 01:14:00+00:00,23155.76,23166.03,23152.39,23163.84,207.12339,23161.0,23169.0,23159.81,23168.42,12.65781009
2023-03-01 01:15:00+00:00,23164.4,23169.1,23149.12,23150.29,167.3592,23167.74,23172.31,23156.09,23157.68,22.52204811
2023-03-01 01:16:00+00:00,23150.93,23158.19,23147.21,23148.25,148.03198,23156.05,23162.72,23153.55,23153.55,22.08585383
2023-03-01 01:17:00+00:00,23148.95,23155.39,23130.01,23151.16,217.16638,23153.74,23159.12,23134.82,23158.19,10.18465057
2023-03-01 01:18:00+00:00,23152.1,23164.23,23148.98,23161.2,124.53461,23158.18,23169.2,23155.58,23166.24,3.32331009
2023-03-01 01:19:00+00:00,23161.2,23162.85,23132.0,23136.43,159.85052,23165.8,23165.81,23137.94,23139.58,7.44608395
2023-03-01 01:20:00+00:00,23137.28,23145.5,23135.27,23142.21,128.10794,23140.2,23148.34,23140.2,23144.99,2.27198189
2023-03-01 01:21:00+00:00,23141.19,23149.54,23139.91,23144.81,86.98559,23146.43,23151.18,23144.98,23147.75,2.38523541
2023-03-01 01:22:00+00:00,23144.19,23145.71,23123.01,23143.66,151.59651,23148.25,23149.47,23129.67,23148.04,7.43798213
2023-03-01 01:23:00+00:00,23144.01,23150.69,23139.6,23141.86,120.38288,23148.29,23154.02,23144.83,23146.75,2.86935548
2023-03-01 01:24:00+00:00,23141.86,23147.46,23140.0,23142.03,77.93121,23146.75,23150.5,23145.01,23146.72,1.23557963
2023-03-01 01:25:00+00:00,23142.03,23143.08,23131.08,23132.2,125.60216,23146.53,23146.53,23134.99,23136.54,1.83886644
2023-03-01 01:26:00+00:00,23132.68,23148.9,23131.5,23146.83,94.30299,23136.13,23148.32,23136.13,23148.32,1.64850725
2023-03-01 01:27:00+00:00,23146.88,23148.89,23135.5,23137.47,96.12035,23149.32,23150.05,23139.45,23139.78,2.97555899
2023-03-01 01:28:00+00:00,23137.47,23141.29,23135.5,23138.22,51.46035,23139.77,23142.05,23139.34,23141.21,1.20526307
2023-03-01 01:29:00+00:00,23138.79,23154.23,23135.51,23152.02,99.60108,23141.21,23153.9,23135.66,23153.89,13.97761546
2023-03-01 01:30:00+00:00,23152.02,23195.09,23150.12,23189.78,395.96008,23155.37,23196.22,23154.52,23192.21,20.44180297
2023-03-01 01:31:00+00:00,23189.78,23199.92,23187.89,23197.56,210.96546,23196.26,23200.77,23191.03,23200.56,20.22685787
2023-03-01 01:32:00+00:00,23197.56,23213.0,23184.76,23207.2,383.21878,23200.57,23214.2,23188.0,23209.96,8.36033158
2023-03-01 01:33:00+00:00,23207.2,23249.59,23204.12,23244.01,547.79616,23210.01,23249.53,23207.01,23246.03,8.11356777
2023-03-01 01:34:00+00:00,23244.01,23268.84,23230.0,23264.77,580.49631,23246.01,23268.18,23232.0,23266.04,20.97606864
2023-03-01 01:35:00+00:00,23263.7,23278.0,23216.63,23217.65,368.23664,23266.15,23277.38,23223.0,23223.0,16.16145731
2023-03-01 01:36:00+00:00,23217.65,23234.29,23214.14,23219.19,172.70239,23222.0,23235.75,23215.68,23221.85,2.95743801
2023-03-01 01:37:00+00:00,23218.39,23233.37,23210.01,23228.21,197.56215,23221.41,23234.96,23213.67,23229.5,11.6757023
2023-03-01 01:38:00+00:00,23228.21,23228.22,23212.08,23220.89,132.57967,23229.84,23229.84,23215.53,23219.53,5.31634959
2023-03-01 01:39:00+00:00,23220.21,23247.08,23211.17,23242.52,243.50069,23224.64,23249.0,23218.32,23245.62,8.72364566
2023-03-01 01:40:00+00:00,23242.5,23244.05,23216.77,23221.46,130.03686,23245.87,23245.87,23220.13,23223.83,3.63493172
2023-03-01 01:41:00+00:00,23220.61,23236.3,23218.21,23236.3,105.5294,23223.86,23237.1,23222.08,23237.01,4.02660379
2023-03-01 01:42:00+00:00,23235.14,23237.65,23217.59,23220.2,180.75351,23238.77,23239.71,23221.81,23224.5,4.11899009
2023-03-01 01:43:00+00:00,23220.2,23228.0,23210.0,23211.38,121.57181,23223.66,23231.81,23212.34,23213.14,5.19041841
2023-03-01 01:44:00+00:00,23212.96,23239.79,23209.43,23238.27,172.98056,23215.16,23242.1,23215.16,23241.85,3.94176032
2023-03-01 01:45:00+00:00,23237.52,23241.92,23224.5,23228.29,184.87663,23241.8,23243.99,23228.43,23230.54,6.640075
2023-03-01 01:46:00+00:00,23228.29,23247.59,23226.06,23245.3,157.50765,23230.54,23249.47,23229.57,23247.67,7.11692899
2023-03-01 01:47:00+00:00,23244.92,23247.76,23237.34,23246.06,124.77447,23249.45,23252.63,23242.72,23249.28,2.0120137
2023-03-01 01:48:00+00:00,23246.06,23248.45,23234.0,23243.93,151.98535,23249.29,23250.38,23239.73,23247.85,2.52044151
2023-03-01 01:49:00+00:00,23244.71,23254.57,23242.23,23246.04,101.49197,23247.83,23254.44,23247.71,23249.8,1.40125499
2023-03-01 01:50:00+00:00,23245.38,23259.35,23238.27,23248.55,218.58552,23249.6,23262.89,23243.27,23253.36,8.98157236
2023-03-01 01:51:00+00:00,23247.98,23263.11,23240.41,23255.51,159.15834,23252.34,23264.93,23245.19,23260.53,3.55391153
2023-03-01 01:52:00+00:00,23256.26,23278.0,23252.99,23275.53,207.92612,23259.73,23280.42,23259.07,23279.65,7.80782899
2023-03-01 01:53:00+00:00,23275.49,23296.94,23262.72,23266.26,342.09229,23279.8,23299.98,23267.26,23270.68,13.42751205
2023-03-01 01:54:00+00:00,23266.26,23271.43,23248.39,23253.45,181.30325,23269.21,23274.77,23257.29,23257.29,3.19078553
2023-03-01 01:55:00+00:00,23252.67,23268.54,23241.82,23257.65,161.77311,23257.6,23271.77,23248.32,23264.13,3.42559296
2023-03-01 01:56:00+00:00,23258.42,23269.69,23250.35,23252.18,163.38339,23262.69,23274.55,23257.13,23257.82,5.53268718
2023-03-01 01:57:00+00:00,23252.18,23257.36,23231.29,23243.52,235.79086,23257.24,23259.64,23238.71,23250.18,4.46765815
2023-03-01 01:58:00+00:00,23244.01,23257.58,23232.93,23252.26,182.74049,23250.12,23260.87,23239.26,23257.34,3.20295749
2023-03-01 01:59:00+00:00,23253.23,23255.22,23241.04,23245.96,139.75928,23257.61,23258.46,23245.85,23253.04,2.63932818
2023-03-01 02:00:00+00:00,23245.96,23258.56,23245.64,23255.32,159.52467,23250.52,23263.24,23250.49,23259.9,3.3211068
2023-03-01 02:01:00+00:00,23255.32,23262.54,23254.0,23262.3,133.65237,23259.9,23266.27,23259.3,23265.13,2.27445069
2023-03-01 02:02:00+00:00,23261.88,23263.9,23246.4,23248.6,131.62725,23265.1,23266.27,23251.07,23252.07,4.48772605
2023-03-01 02:03:00+00:00,23247.7,23252.01,23238.42,23238.82,94.63962,23251.1,23254.6,23241.75,23241.75,0.34560022
2023-03-01 02:04:00+00:00,23239.41,23245.24,23237.2,23238.37,93.26618,23243.31,23249.02,23240.88,23242.02,3.55663302
2023-03-01 02:05:00+00:00,23239.16,23250.02,23236.78,23243.25,123.21255,23242.05,23253.1,23240.28,23246.23,0.87466175
2023-03-01 02:06:00+00:00,23243.25,23247.27,23235.8,23240.1,99.1432,23245.84,23249.74,23239.47,23244.15,1.35678615
2023-03-01 02:07:00+00:00,23240.1,23243.87,23237.15,23238.17,62.24147,23243.17,23247.33,23241.22,23243.7,0.7496482
2023-03-01 02:08:00+00:00,23238.17,23249.0,23235.64,23239.21,70.41561,23243.7,23252.38,23242.22,23245.62,1.88454728
2023-03-01 02:09:00+00:00,23239.21,23245.41,23237.47,23244.55,91.94927,23245.79,23250.12,23243.65,23246.92,1.83737675
2023-03-01 02:10:00+00:00,23244.55,23255.33,23240.0,23249.55,109.82697,23246.92,23256.63,23245.27,23254.96,3.23030248
2023-03-01 02:11:00+00:00,23249.55,23264.91,23245.35,23264.78,100.09433,23254.96,23268.92,23251.35,23268.26,2.89251281
2023-03-01 02:12:00+00:00,23264.78,23265.39,23254.97,23261.05,113.32984,23268.26,23269.29,23262.35,23265.11,1.75228891
2023-03-01 02:13:00+00:00,23261.83,23263.56,23249.63,23256.77,121.4456,23265.78,23266.9,23254.3,23261.54,2.43169361
2023-03-01 02:14:00+00:00,23256.77,23261.53,23248.1,23260.21,117.17359,23261.51,23264.99,23254.6,23264.99,2.30681977
2023-03-01 02:15:00+00:00,23261.12,23267.42,23256.68,23263.03,106.22811,23264.88,23269.54,23263.38,23268.04,2.13996069
2023-03-01 02:16:00+00:00,23263.17,23271.98,23260.14,23268.73,112.33656,23268.04,23276.31,23267.02,23272.12,3.05908789
2023-03-01 02:17:00+00:00,23268.73,23275.48,23266.5,23272.24,74.04456,23272.76,23279.08,23271.31,23277.6,1.17286256
2023-03-01 02:18:00+00:00,23272.24,23281.12,23268.76,23279.48,121.11094,23277.6,23284.44,23274.51,23282.87,4.46457707
2023-03-01 02:19:00+00:00,23279.48,23282.97,23276.09,23280.25,66.35718,23282.87,23285.67,23280.72,23284.99,1.14548726
2023-03-01 02:20:00+00:00,23280.72,23288.47,23279.11,23283.15,168.81259,23284.94,23291.81,23284.7,23288.23,4.29746131
2023-03-01 02:21:00+00:00,23283.15,23288.78,23280.05,23286.47,122.28528,23288.15,23290.29,23284.12,23290.28,2.69191922
2023-03-01 02:22:00+00:00,23285.82,23287.08,23270.0,23271.33,145.12803,23289.91,23290.29,23274.31,23274.31,8.58339983
2023-03-01 02:23:00+00:00,23271.33,23272.0,23252.0,23253.1,145.53097,23274.42,23274.94,23257.41,23257.41,6.67301241
2023-03-01 02:24:00+00:00,23253.1,23256.94,23244.7,23246.3,141.87447,23257.4,23260.0,23250.46,23250.46,2.75697359
2023-03-01 02:25:00+00:00,23246.3,23259.05,23245.79,23254.37,87.24796,23252.04,23263.44,23252.04,23259.35,3.31416248
2023-03-01 02:26:00+00:00,23254.37,23263.0,23253.53,23261.67,52.84572,23260.23,23265.75,23258.11,23265.75,1.81925811
2023-03-01 02:27:00+00:00,23261.67,23272.63,23261.67,23266.79,79.22961,23267.88,23276.15,23267.88,23271.03,1.2227027
2023-03-01 02:28:00+00:00,23266.79,23267.98,23258.67,23261.98,74.11521,23271.43,23271.78,23267.05,23267.06,3.46242779
2023-03-01 02:29:00+00:00,23262.28,23262.72,23240.3,23244.87,207.8854,23267.06,23267.06,23245.37,23249.56,9.24003331
2023-03-01 02:30:00+00:00,23244.87,23248.78,23235.82,23237.57,152.99398,23249.55,23251.14,23241.37,23241.6,4.54005397
2023-03-01 02:31:00+00:00,23237.47,23243.88,23235.67,23237.17,105.53116,23241.56,23246.49,23241.48,23241.98,0.9721769
2023-03-01 02:32:00+00:00,23236.89,23247.47,23234.2,23245.93,146.03553,23242.01,23251.1,23240.7,23251.1,3.2228323
2023-03-01 02:33:00+00:00,23246.62,23256.5,23244.98,23253.7,81.37213,23250.43,23259.77,23250.43,23259.77,1.60451412
2023-03-01 02:34:00+00:00,23254.29,23265.55,23241.48,23265.55,208.03044,23259.77,23268.74,23247.54,23268.74,7.56177106
2023-03-01 02:35:00+00:00,23265.55,23284.3,23262.24,23276.21,178.35007,23270.94,23288.5,23269.75,23281.99,6.65543455
2023-03-01 02:36:00+00:00,23276.21,23295.44,23271.87,23291.57,206.192,23281.32,23298.75,23278.94,23296.56,4.39494118
2023-03-01 02:37:00+00:00,23292.4,23295.29,23287.88,23289.85,209.77577,23297.12,23298.86,23293.01,23294.31,2.59102624
2023-03-01 02:38:00+00:00,23289.36,23292.58,23276.41,23278.81,197.51135,23293.81,23295.7,23281.01,23282.22,3.58724449
2023-03-01 02:39:00+00:00,23279.37,23286.72,23268.22,23276.64,187.64927,23282.47,23290.9,23271.47,23280.27,9.92712327
2023-03-01 02:40:00+00:00,23276.04,23289.44,23274.29,23282.51,128.97966,23280.27,23292.1,23279.06,23287.94,2.25011789
2023-03-01 02:41:00+00:00,23282.51,23289.96,23278.91,23288.47,57.18412,23287.9,23293.09,23284.7,23293.09,0.70755727
2023-03-01 02:42:00+00:00,23287.89,23296.03,23287.35,23290.33,102.97222,23293.09,23300.0,23293.09,23295.69,2.84948298
2023-03-01 02:43:00+00:00,23290.33,23306.5,23289.51,23304.84,195.38953,23295.72,23308.75,23295.72,23308.74,2.39950282
2023-03-01 02:44:00+00:00,23304.85,23321.76,23289.63,23295.99,308.49787,23308.74,23321.41,23296.0,23296.01,14.46638627
2023-03-01 02:45:00+00:00,23294.43,23313.32,23294.12,23305.78,155.59024,23297.01,23317.16,23297.01,23307.89,4.74644276
2023-03-01 02:46:00+00:00,23304.61,23308.77,23298.5,23305.84,123.88119,23307.89,23311.5,23305.06,23309.82,3.11257209
2023-03-01 02:47:00+00:00,23305.81,23305.84,23288.78,23297.06,146.77286,23309.83,23309.83,23294.04,23302.14,3.14349099
2023-03-01 02:48:00+00:00,23297.7,23298.56,23290.58,23295.08,108.29882,23302.14,23302.14,23295.62,23297.71,2.96341748
2023-03-01 02:49:00+00:00,23295.64,23297.43,23288.5,23291.5,88.81865,23300.24,23300.24,23293.53,23295.91,1.98135253
2023-03-01 02:50:00+00:00,23291.49,23299.42,23290.55,23298.83,101.05464,23295.91,23302.59,23295.06,23302.59,1.38364474
2023-03-01 02:51:00+00:00,23298.13,23301.07,23292.0,23293.92,128.61139,23302.59,23304.94,23297.22,23297.24,1.21300327
2023-03-01 02:52:00+00:00,23293.85,23304.18,23291.84,23296.53,142.83217,23297.39,23306.91,23296.44,23299.28,1.44198087
2023-03-01 02:53:00+00:00,23296.53,23309.95,23292.13,23306.16,183.93683,23299.28,23312.94,23298.25,23310.33,4.18673355
2023-03-01 02:54:00+00:00,23305.55,23314.73,23301.08,23306.65,183.13925,23308.99,23316.37,23305.24,23307.68,4.930701
2023-03-01 02:55:00+00:00,23306.65,23312.48,23300.0,23301.68,126.98203,23309.46,23314.98,23302.19,23304.57,1.06164199
2023-03-01 02:56:00+00:00,23302.09,23314.6,23301.17,23309.12,123.60357,23304.14,23316.34,23304.14,23310.55,2.01319437
2023-03-01 02:57:00+00:00,23309.12,23314.63,23306.28,23313.2,84.52502,23312.51,23316.42,23310.79,23315.66,1.26395757
2023-03-01 02:58:00+00:00,23313.2,23330.55,23312.65,23329.31,210.93906,23315.66,23334.61,23315.66,23333.28,6.53132356
2023-03-01 02:59:00+00:00,23328.19,23336.46,23321.16,23331.21,203.79546,23332.39,23338.0,23326.97,23333.54,2.63873514
2023-03-01 03:00:00+00:00,23332.57,23337.14,23315.77,23320.71,252.66501,23333.53,23338.34,23318.49,23325.98,12.89778679
2023-03-01 03:01:00+00:00,23320.71,23323.23,23308.94,23309.45,192.62872,23325.62,23325.77,23313.84,23314.68,1.88772822
2023-03-01 03:02:00+00:00,23309.45,23321.25,23308.94,23314.55,122.6132,23313.49,23324.81,23313.47,23319.15,2.16199506
2023-03-01 03:03:00+00:00,23315.27,23318.47,23306.22,23313.83,123.841,23319.35,23321.22,23310.79,23316.98,2.14334948
2023-03-01 03:04:00+00:00,23313.82,23331.38,23310.5,23329.67,150.12436,23316.98,23335.21,23315.71,23335.21,3.4087351
2023-03-01 03:05:00+00:00,23329.67,23331.36,23322.96,23326.76,115.55256,23333.57,23335.31,23327.37,23331.02,4.78053151
2023-03-01 03:06:00+00:00,23326.76,23349.0,23326.01,23347.17,356.46353,23331.02,23350.54,23331.02,23350.54,4.32698164
2023-03-01 03:07:00+00:00,23347.16,23372.51,23345.66,23352.72,391.6499,23350.54,23371.83,23350.53,23355.98,11.58399019
2023-03-01 03:08:00+00:00,23352.72,23356.75,23333.5,23339.9,326.287,23354.44,23357.73,23337.19,23342.0,13.73347855
2023-03-01 03:09:00+00:00,23339.1,23344.76,23317.78,23324.23,327.47142,23341.16,23346.54,23320.91,23324.85,13.25808434
2023-03-01 03:10:00+00:00,23324.23,23331.17,23305.97,23307.28,224.95428,23326.19,23333.62,23310.01,23310.01,3.50053997
2023-03-01 03:11:00+00:00,23307.28,23318.38,23305.97,23314.33,95.61521,23310.39,23321.01,23310.0,23318.33,6.27195556
2023-03-01 03:12:00+00:00,23315.33,23331.99,23314.28,23321.22,144.68472,23318.96,23333.8,23318.96,23325.69,9.80779928
2023-03-01 03:13:00+00:00,23321.99,23387.0,23316.73,23381.61,628.9266,23325.7,23387.51,23320.95,23385.29,32.75996959
2023-03-01 03:14:00+00:00,23381.61,23444.0,23373.76,23436.97,936.72195,23385.26,23445.69,23378.76,23437.35,16.651091
2023-03-01 03:15:00+00:00,23435.93,23480.2,23435.04,23462.19,830.68558,23439.0,23483.18,23437.78,23463.53,26.46117413
2023-03-01 03:16:00+00:00,23462.19,23489.95,23452.43,23456.66,656.15416,23465.57,23493.1,23456.87,23459.34,18.28203223
2023-03-01 03:17:00+00:00,23455.25,23489.95,23454.3,23477.17,433.72601,23459.31,23490.0,23458.48,23480.52,18.52860453
2023-03-01 03:18:00+00:00,23477.17,23498.0,23469.58,23481.37,462.76905,23478.01,23496.14,23473.23,23483.46,41.07208958
2023-03-01 03:19:00+00:00,23480.44,23484.54,23409.48,23418.87,591.16339,23483.55,23483.55,23416.23,23422.46,29.40389754
2023-03-01 03:20:00+00:00,23420.38,23449.14,23413.69,23441.91,297.38053,23422.29,23448.59,23417.23,23445.86,4.55645711
2023-03-01 03:21:00+00:00,23441.24,23448.2,23401.11,23402.02,373.28483,23443.78,23445.64,23407.03,23407.03,9.87308647
2023-03-01 03:22:00+00:00,23402.02,23421.52,23386.84,23418.92,386.72645,23407.09,23423.0,23393.16,23422.99,9.87638384
2023-03-01 03:23:00+00:00,23417.54,23436.22,23411.99,23431.57,227.56931,23423.0,23437.51,23417.45,23435.59,5.04457475
